college,state,type,avgSa(FP),avgSa(OP),avgSa(IP),avgSa(AR),avgCo(FP),avgCo(OP),avgCo(IP),avgCo(AR),num(FP),num(OP),num(IP),num(IN),num(FA)
Auburn Univ. at Montgomery,AL,IIA,519,422,343,403,621,507,411,483,56,54,63,28,201
Univ. Ark. at Monticello,AR,IIB,453,363,330,349,561,448,402,428,23,24,48,22,117
Univ. Arkansas at Pine Bluff,AR,IIB,406,366,332,335,505,457,415,419,40,33,71,46,192
Arkansas College (Lyon College),AR,IIB,499,0,330,399,618,0,402,488,14,5,21,2,42
Arkansas Tech University,AR,IIB,439,381,337,374,550,479,427,471,44,71,52,13,180
Arkansas State Univ.-Main,AR,IIA,520,433,342,398,646,541,431,498,103,87,141,63,394
Univ. of Central Arkansas,AR,IIA,521,416,339,395,632,507,416,482,93,89,82,76,340
University of the Ozarks,AR,IIB,309,280,274,285,428,383,376,391,14,9,15,2,40
Henderson State University,AR,IIB,447,375,341,375,561,480,435,477,55,42,33,25,155
Hendrix College,AR,IIB,485,399,362,421,664,534,453,562,24,26,14,1,65
John Brown University,AR,IIB,372,338,304,341,478,414,375,426,23,22,10,3,58
Univ. Ark. at Little Rock,AR,IIA,536,416,372,415,651,506,450,504,128,117,72,63,398
Ouachita Baptist University,AR,IIB,422,355,289,342,529,445,375,435,36,14,28,19,97
Williams Baptist College,AR,IIB,0,0,264,266,0,0,327,331,4,4,12,4,24
Southern Ark. Univ.-Main,AR,IIA,461,389,321,362,575,484,402,453,27,31,34,23,115
Univ. Arkansas-Fayetteville,AR,I,563,436,379,452,686,531,461,550,314,198,225,54,806
Harding University,AR,IIB,424,374,335,380,512,461,401,460,80,46,41,8,179
Grand Canyon University,AZ,IIB,358,328,274,299,439,395,332,363,20,18,24,12,74
Arizona State University,AZ,I,603,449,399,489,723,549,489,593,576,445,251,7,1383
Northern Arizona University,AZ,I,511,422,359,412,619,518,446,507,173,192,175,33,608
University of Arizona,AZ,I,648,462,411,537,771,561,498,645,647,377,272,2,1349
Azusa Pacific University,CA,IIA,430,375,318,368,573,494,428,488,43,62,32,12,156
Biola University,CA,IIA,455,369,303,370,582,462,371,464,32,57,31,6,126
California Inst. of Tech.,CA,I,970,733,576,866,1204,909,717,1075,173,40,44,0,257
California Lutheran Univ.,CA,IIB,477,392,335,398,600,501,433,507,32,21,33,6,92
Cal.St.Univ-Fullerton,CA,IIA,605,493,387,544,760,637,506,690,393,120,105,5,623
Cal.St.Univ-Hayward,CA,IIA,606,491,384,552,762,629,503,699,258,69,49,7,383
Cal.St.Univ-Long Beach,CA,IIA,600,474,401,542,751,610,521,685,491,171,112,6,780
Cal.St.Univ-Dominguez Hills,CA,IIA,605,472,392,548,759,606,593,705,178,52,37,1,268
Cal.Poly.St.U-Sn Luis Obispo,CA,IIA,607,496,394,571,763,635,514,721,507,102,60,1,670
Cal.Poly.St.Univ-Pomona,CA,IIA,610,492,408,559,766,630,531,707,411,116,79,4,610
Cal.St.Univ-Chico,CA,IIA,604,482,395,558,758,631,518,707,413,86,73,2,574
Cal.St.Univ-Fresno,CA,IIA,603,476,382,553,757,612,500,699,459,109,67,14,649
Humboldt State University,CA,IIA,593,468,387,543,746,603,507,688,213,38,50,0,301
San Diego State University,CA,IIA,602,479,403,547,756,615,524,693,576,223,100,10,909
San Jose State University,CA,IIA,598,486,404,528,750,623,526,669,431,222,158,8,819
Sonoma State University,CA,IIA,602,459,380,553,755,592,497,699,170,34,29,0,233
Chapman University,CA,IIA,578,470,420,491,763,627,573,656,38,37,36,0,111
Claremont McKenna College,CA,IIB,716,516,411,601,892,661,510,751,36,16,12,2,67
Harvey Mudd College,CA,IIB,771,579,454,638,961,739,588,805,34,14,20,0,68
Pitzer College,CA,IIB,652,439,381,547,824,572,482,695,31,10,13,0,54
Pomona College,CA,IIB,730,525,417,566,909,658,530,708,60,52,40,7,161
Scripps College,CA,IIB,611,458,372,511,776,588,495,658,28,10,15,1,54
College of Notre Dame,CA,IIB,524,421,374,448,630,503,443,535,25,16,15,3,59
Holy Names College,CA,IIB,484,394,275,368,542,443,311,413,10,22,18,1,51
University of La Verne,CA,IIA,482,392,326,401,602,478,396,494,41,28,41,0,110
Mills College,CA,IIA,593,461,407,492,737,571,507,612,28,16,23,2,70
Occidental College,CA,IIB,624,469,388,490,806,593,482,621,49,42,33,15,139
Fresno Pacific College,CA,IIB,0,0,0,361,0,0,0,447,0,0,0,0,54
Pacific Union College,CA,IIB,362,333,315,336,441,398,376,403,40,17,41,4,102
Point Loma Nazarene College,CA,IIB,507,393,358,429,637,523,468,549,43,21,23,7,94
Pepperdine University,CA,IIA,715,561,511,637,930,737,645,829,130,72,22,7,231
Saint Mary's Coll. of Calif.,CA,IIA,614,494,404,500,754,616,497,618,38,55,42,0,135
Stanford University,CA,I,952,658,519,824,1144,814,653,1000,533,139,145,0,834
Univ.of Calif.-Berkeley,CA,I,764,513,433,650,939,631,533,799,834,229,209,0,1346
Univ.of Calif.-Davis,CA,I,683,478,404,561,840,588,496,689,535,190,234,0,1072
Univ.of Calif.-Irvine,CA,I,708,488,423,574,870,599,520,705,319,161,138,0,673
Univ.of Calif.-Los Angeles,CA,I,741,497,421,609,910,611,517,748,817,267,298,0,1499
Univ.of Calif.-Riverside,CA,I,670,461,390,514,824,567,479,632,183,80,140,0,441
Univ.of Calif.-San Diego,CA,I,723,487,401,595,888,598,493,732,405,147,130,0,734
Univ.of Calif.-San Francisco,CA,I,624,449,380,520,767,552,467,639,154,83,74,0,314
Univ.of Calif.-Santa Barbara,CA,I,712,473,401,578,875,581,493,711,371,125,145,0,694
Univ.of Calif.-Santa Cruz,CA,I,677,464,391,537,832,570,481,660,186,93,92,0,413
University of Redlands,CA,IIA,566,468,406,488,716,592,495,610,49,19,39,0,109
University of San Francisco,CA,IIA,617,486,405,514,811,644,538,680,129,59,80,19,287
Santa Clara University,CA,IIA,763,555,487,578,938,704,624,729,85,117,90,0,324
Univ. of Southern California,CA,I,802,574,484,641,1016,751,636,825,485,354,286,27,1165
University of the Pacific,CA,IIA,542,420,372,459,666,528,468,570,172,92,100,10,377
Westmont College,CA,IIB,489,408,339,415,616,524,429,526,30,19,22,3,74
Whittier College,CA,IIA,666,499,347,531,808,601,416,642,48,27,24,9,108
Woodbury University,CA,IIA,0,373,365,381,0,472,454,478,5,11,6,0,22
San Francisco State Univ.,CA,IIA,599,483,397,541,751,619,518,684,451,133,117,8,709
Cal.St.Univ-Bakersfield,CA,IIA,597,482,377,499,752,619,495,637,95,48,50,13,206
University of San Diego,CA,IIA,719,533,452,575,904,678,569,725,105,72,76,12,265
Loyola Marymount University,CA,IIA,722,558,414,589,911,724,543,754,130,90,83,3,310
Adams State College,CO,IIA,436,356,321,360,527,444,400,444,29,21,40,8,98
Colorado College,CO,IIB,613,488,398,525,776,621,509,665,63,38,26,1,134
Univ. of Northern Colorado,CO,I,480,390,333,385,565,463,399,458,151,111,129,35,467
Colorado State University,CO,I,598,447,403,517,714,534,481,617,483,255,188,0,926
Fort Lewis College,CO,IIB,439,385,342,392,516,452,402,460,73,35,52,5,165
Mesa State College,CO,IIB,429,353,297,340,508,427,363,410,49,31,37,7,145
Metro. State Coll.of Denver,CO,IIB,480,406,351,418,568,485,424,498,159,90,111,8,370
Regis University,CO,IIB,489,434,349,424,626,531,428,527,16,26,12,2,56
University Southern Colorado,CO,IIA,474,422,360,397,559,498,425,468,47,45,63,15,170
Univ. of Colorado- Boulder,CO,I,652,494,421,528,797,615,519,649,457,301,227,93,1081
University of Denver,CO,I,623,479,430,509,756,588,525,620,142,106,101,6,378
Western State Coll. of Colo.,CO,IIB,452,381,324,402,546,460,406,490,52,25,26,0,103
Univ. of Colo. at Colo.Sprgs,CO,IIA,522,422,385,451,642,524,480,558,62,56,40,3,161
Univ. of Colorado at Denver,CO,IIA,596,453,408,467,726,561,508,576,106,108,119,35,368
Colorado Christian Univ.,CO,IIB,0,284,251,255,0,356,318,323,3,8,13,8,32
Albertus Magnus College,CT,IIB,391,343,0,340,444,400,0,393,9,7,5,3,24
Central Connecticut St.Univ.,CT,IIA,666,534,397,518,856,700,536,680,118,119,137,16,390
Connecticut College,CT,IIB,619,461,366,499,810,613,477,654,63,35,30,11,140
Western Conn. State Univ.,CT,IIA,658,516,477,575,883,711,652,778,90,36,50,2,178
Fairfield University,CT,IIA,685,545,452,545,894,733,603,721,62,43,81,6,192
University of New Haven,CT,IIA,524,450,401,471,656,576,513,596,72,44,30,1,152
Quinnipiac College,CT,IIA,697,540,412,553,877,686,531,701,82,51,64,10,207
Sacred Heart University,CT,IIB,546,444,374,435,686,566,478,553,19,55,30,7,111
Southern Conn. State Univ.,CT,IIA,644,514,385,522,819,673,516,678,160,125,120,12,417
Saint Joseph College,CT,IIA,548,451,360,430,654,544,432,517,8,34,22,1,65
Trinity College,CT,IIB,706,501,394,550,901,650,494,704,57,49,32,0,146
University of Bridgeport,CT,IIA,505,437,360,434,644,551,463,553,32,29,26,1,90
University of Hartford,CT,IIA,529,445,380,439,660,566,492,558,76,131,111,3,329
Wesleyan University,CT,IIA,734,504,423,597,936,641,539,761,128,57,66,0,254
Eastern Connecticut St.Univ.,CT,IIA,650,515,400,535,856,689,547,714,47,47,33,0,127
Yale University,CT,I,928,522,444,708,1127,643,548,863,404,118,191,6,767
American University,DC,I,746,520,417,555,897,641,505,673,165,119,125,37,446
Catholic Univ. of America,DC,I,611,449,385,482,718,533,459,570,123,141,104,6,374
Gallaudet University,DC,IIA,623,480,399,482,814,638,534,637,86,67,70,35,261
George Washington University,DC,I,729,542,447,610,874,653,536,733,316,175,134,12,637
Georgetown University,DC,I,857,552,427,618,1080,710,546,785,192,157,154,25,528
Howard University,DC,I,656,483,403,481,780,591,494,587,241,282,189,111,891
Mount Vernon College,DC,IIB,0,360,288,330,0,453,364,413,3,10,17,0,30
Trinity College,DC,IIB,457,362,293,350,536,435,349,415,12,12,21,2,47
Univ.of District Columbia,DC,IIA,559,476,390,491,686,586,482,604,184,113,95,8,400
Delaware State University,DE,IIA,545,435,359,379,716,583,491,515,29,47,61,34,183
Goldey Beacom College,DE,IIB,492,405,0,417,613,511,0,528,8,14,3,1,26
University of Delaware,DE,I,723,531,422,556,922,693,554,721,341,319,217,65,953
Wesley College,DE,IIB,448,373,334,376,565,449,396,456,14,12,22,1,49
Barry University,FL,IIA,488,420,350,394,598,508,424,477,39,77,84,15,215
St. Thomas University,FL,IIA,438,482,351,403,520,570,421,480,23,22,37,4,90
Embry-Riddle Aero University,FL,IIA,457,369,310,365,556,452,383,446,70,130,84,7,299
Florida A & M University,FL,IIA,524,426,359,424,661,543,460,540,103,123,111,27,364
Florida Atlantic University,FL,IIA,580,426,394,461,750,559,517,601,183,147,159,30,528
Eckerd College,FL,IIB,534,424,357,436,676,547,472,563,32,18,37,0,87
Florida Southern College,FL,IIB,440,369,331,369,552,473,409,463,30,18,44,4,96
Florida State University,FL,I,564,399,378,473,729,525,494,616,510,316,192,16,1038
Rollins College,FL,IIA,542,420,321,457,678,519,378,564,78,43,26,7,154
Stetson University,FL,IIA,622,437,370,477,794,561,467,605,61,52,65,2,185
University of Florida,FL,I,613,430,399,501,790,567,527,653,981,721,510,49,2261
University of Miami,FL,I,693,510,408,513,895,654,514,659,291,200,147,20,769
University of South Florida,FL,I,571,418,369,455,735,547,483,591,387,319,239,45,1038
University of Tampa,FL,IIB,495,425,371,416,593,513,438,497,36,37,46,4,127
University Central Florida,FL,IIA,560,420,369,435,698,527,465,545,176,207,162,42,593
University of West Florida,FL,IIA,489,391,350,390,636,505,458,507,59,65,75,22,221
Palm Beach Atlantic College,FL,IIB,413,369,333,348,491,451,390,412,11,14,28,13,66
Florida Internat'l Univ.,FL,IIA,558,423,395,433,719,553,509,562,182,261,220,76,767
University of North Florida,FL,IIB,498,405,343,408,663,544,462,547,73,81,57,19,230
Agnes Scott College,GA,IIB,527,421,356,426,651,528,441,528,19,24,19,4,66
Albany State College,GA,IIB,444,395,335,371,578,519,437,484,38,24,68,8,138
Armstrong State College,GA,IIB,462,367,315,347,588,457,391,434,38,32,119,12,201
Augusta College,GA,IIA,503,409,336,383,645,520,431,489,40,43,79,21,183
Berry College,GA,IIB,515,403,343,399,650,519,439,509,25,20,38,3,92
Columbus College,GA,IIA,456,375,333,396,588,491,437,515,75,50,51,2,178
Emory University,GA,I,796,547,451,608,972,686,567,753,203,177,161,8,549
Fort Valley State College,GA,IIB,471,382,339,379,596,490,439,487,37,39,49,17,142
Georgia Institute of Tech.,GA,I,684,517,462,558,862,665,594,711,235,206,167,17,626
Southern Coll. of Technology,GA,IIB,457,386,360,398,587,496,460,511,44,58,40,4,146
Georgia Southern University,GA,IIA,495,408,328,363,623,509,407,453,105,135,254,109,603
Georgia State University,GA,I,666,474,390,502,817,594,493,624,258,254,241,40,793
Kennesaw State College,GA,IIA,523,428,353,399,661,542,445,506,69,116,111,54,350
Mercer University-Entire,GA,IIA,555,423,351,433,686,538,435,540,76,78,81,11,246
Oglethorpe University,GA,IIB,516,454,329,450,630,550,390,546,21,9,10,0,44
Shorter College,GA,IIB,370,308,294,317,439,368,355,379,16,17,17,5,55
University of Georgia,GA,I,619,444,378,489,768,553,464,607,650,552,391,64,1658
Valdosta State University,GA,IIA,477,386,344,390,603,496,445,500,88,90,114,19,311
West Georgia College,GA,IIA,466,391,353,392,595,502,454,502,98,50,97,27,272
Georgia College,GA,IIA,447,388,340,373,571,496,440,479,47,41,80,11,179
Covenant College,GA,IIB,429,371,312,388,519,492,390,484,19,12,6,1,38
Univ. of Hawaii at Manoa,HI,I,713,532,458,570,887,677,587,719,442,285,272,100,1099
Univ. of Hawaii-West Oahu,HI,IIB,513,0,396,449,654,0,512,576,8,4,8,0,20
Univ. of Hawaii at Hilo,HI,IIB,576,461,414,467,731,591,534,598,43,47,37,14,141
Briar Cliff College,IA,IIB,367,324,286,313,473,412,359,398,16,13,28,3,60
Buena Vista College,IA,IIB,484,416,339,382,606,522,440,486,20,12,30,10,72
Central University of Iowa,IA,IIB,464,413,334,395,572,507,405,483,23,36,22,8,89
Clarke College,IA,IIB,436,361,312,338,512,445,379,407,11,10,25,8,54
Coe College,IA,IIB,516,421,340,436,671,541,459,570,30,21,22,0,73
Cornell College,IA,IIB,578,426,368,468,693,534,463,574,31,22,17,5,75
Dordt College,IA,IIB,411,356,308,355,548,470,406,472,30,14,16,12,72
Drake University,IA,IIA,601,458,409,481,762,578,496,600,101,61,107,16,285
Graceland College,IA,IIB,411,331,301,345,490,401,366,418,26,11,29,1,70
Grand View College,IA,IIB,385,320,295,329,481,405,377,416,22,31,20,2,75
Grinnell College,IA,IIB,642,517,405,513,809,641,496,638,46,36,52,3,139
Iowa State University,IA,I,684,506,404,534,842,635,514,666,467,353,284,84,1188
Loras College,IA,IIB,419,363,314,363,531,438,378,445,37,35,31,6,109
Luther College,IA,IIB,478,399,347,404,630,548,445,531,63,26,50,16,155
Morningside College,IA,IIB,389,331,303,341,495,414,365,425,20,29,16,1,66
Mount Mercy College,IA,IIB,379,356,334,337,465,427,396,405,7,20,28,8,63
Mount St. Clare College,IA,IIA,0,0,0,302,0,0,0,373,0,0,0,0,18
Northwestern College,IA,IIB,430,372,311,344,531,477,394,434,9,16,27,6,58
Simpson College,IA,IIB,491,377,339,394,645,473,434,504,25,11,17,14,67
St. Ambrose University,IA,IIB,431,374,325,362,541,471,401,450,29,15,44,8,98
University of Northern Iowa,IA,IIA,586,469,390,447,730,591,491,561,155,152,226,89,622
University of Dubuque,IA,IIB,351,315,309,323,443,392,358,396,19,23,14,2,58
University of Iowa,IA,I,706,509,432,579,872,643,549,723,486,308,260,10,1064
Upper Iowa University,IA,IIB,0,0,287,303,0,0,348,366,4,5,6,12,27
Wartburg College,IA,IIB,447,370,308,358,564,469,385,451,25,21,29,4,89
Teikyo Westmar University,IA,IIB,0,314,289,292,0,388,355,359,5,13,22,14,54
William Penn College,IA,IIB,351,312,269,294,420,386,335,363,8,11,19,7,45
Boise State University,ID,IIA,448,391,354,391,566,498,453,498,157,111,100,7,427
Albertson Coll. of Idaho,ID,IIB,424,338,266,336,540,430,338,428,16,20,19,1,56
Idaho State University,ID,IIA,466,382,337,368,588,487,433,471,128,99,113,120,460
Lewis-Clark State College,ID,IIB,391,329,292,338,499,425,381,436,39,35,35,1,110
Northwest Nazarene College,ID,IIB,0,0,0,341,0,0,0,448,0,0,0,0,71
University of Idaho,ID,I,514,408,373,438,640,514,472,550,217,165,155,9,546
Augustana College,IL,IIB,527,425,362,418,648,523,449,517,41,28,50,18,137
Aurora University,IL,IIB,434,379,339,372,528,461,402,447,18,16,19,16,69
Barat College,IL,IIB,507,405,333,402,599,473,394,474,9,9,14,0,32
Blackburn University,IL,IIB,0,0,0,312,0,0,0,370,0,0,0,0,23
Bradley University,IL,IIA,570,464,378,442,679,562,449,529,75,88,100,30,295
College of Saint Francis,IL,IIB,446,422,345,392,551,524,435,489,12,15,23,0,50
Columbia College,IL,IIB,0,0,0,349,0,0,0,446,0,0,0,0,171
Concordia University,IL,IIB,399,351,295,351,487,435,374,435,30,23,24,1,78
DePaul University,IL,IIA,702,543,427,524,857,681,527,648,120,173,152,55,500
Eastern Illinois University,IL,IIA,442,373,333,364,515,438,393,428,190,161,120,87,560
Eureka College,IL,IIB,0,370,315,355,0,458,390,438,5,16,16,0,37
Greenville College,IL,IIB,374,331,292,336,466,424,370,422,27,11,15,4,57
Illinois College,IL,IIB,522,424,347,424,621,503,410,502,16,18,14,3,51
Illinois Institute of Tech.,IL,I,680,480,452,512,836,606,558,636,93,81,73,11,287
Illinois State University,IL,I,548,436,373,460,638,514,445,541,289,187,244,0,720
Northeastern Illinois Univ.,IL,IIA,460,378,359,394,529,439,418,455,139,88,71,0,331
Chicago State University,IL,IIA,446,369,320,345,509,425,371,399,120,65,77,14,351
Illinois Wesleyan University,IL,IIB,570,452,374,445,729,593,477,572,32,42,47,8,129
Judson College,IL,IIB,400,358,305,358,486,445,366,438,10,12,6,1,29
Kendall College,IL,IIB,0,357,0,319,0,423,0,377,1,11,3,4,19
